OA,ts006_0001
E00061377,2194.4
E00061378,801
E00174122,3639.6
E00174123,398.3
E00061745,1759.8
E00061748,4746.5
E00061752,2155.4
E00061753,5931.6
E00061754,7522.9
E00061738,4838.1
E00061740,7096.8
E00061742,6717.6
E00061744,5026.9
E00061749,7400.9
E00061736,4544
E00061737,6059.7
E00061739,6309.8
E00061743,6773.5
E00061747,3061
E00061732,5611.9
E00061733,6244.3
E00061734,5000
E00061735,3772.4
E00062006,1695.6
E00062008,5930
E00062009,3835.6
E00062010,1646.3
E00062014,2899.5
E00062004,528.2
E00062007,4138.9
E00062011,401.4
E00062012,2184.7
E00062013,4019.3
E00174157,5239.4
E00174158,4685.5
E00174190,5099.7
E00061509,4367.4
E00061510,5202.4
E00061511,3171.8
E00061513,6028.9
E00061520,5094.7
E00061521,5077.2
E00061795,4724.3
E00061798,4409.7
E00061799,3208.9
E00061802,6442.3
E00061803,2571.4
E00061796,4878
E00061800,6582.6
E00061801,4656.6
E00061804,7029.9
E00061808,5524.6
E00061898,6401.4
E00061900,7622.4
E00061904,4530.4
E00061906,4321.4
E00061907,3721.8
E00061908,5383
E00061909,847.3
E00061910,4354.6
E00061911,8439.3
E00061912,16814.2
E00188191,2671.7
E00188206,4399.4
E00188252,4648.4
E00061899,4544.1
E00061901,3281.3
E00061902,6211.5
E00061903,5209.9
E00061913,5132.4
E00061914,7533.2
E00061506,3423
E00061512,3677.6
E00061514,2900
E00061518,4925.6
E00061519,6905.8
E00061507,209.1
E00061508,2097.4
E00061515,206
E00061516,6053.4
E00061517,12.3
E00061600,6202
E00061601,4036.7
E00061606,6913.6
E00061610,9647.4
E00061611,4161
E00061602,2063.2
E00061607,6875
E00061608,8219.2
E00061612,9529.8
E00061603,298.8
E00061604,6446.8
E00061605,4887.2
E00061609,2104.9
E00061741,7202.4
E00061746,2054.1
E00061750,5851.1
E00061751,3499.4
E00061755,7317.6
E00061756,2272.4
E00061923,5238.1
E00061925,811.9
E00061927,636.4
E00061928,98.4
E00061915,3388.7
E00061917,5464.9
E00061918,5165.8
E00061920,310.8
E00061933,7035.5
E00061916,4811.8
E00061921,4047.2
E00061930,4731.9
E00061931,4551.5
E00061932,5177.2
E00061919,4142.9
E00061922,3606.3
E00061924,2191.2
E00061926,8322.1
E00061929,5800
E00061797,568.8
E00061805,4616.9
E00061806,4220
E00061807,6408.6
E00061809,987.7
E00061872,15.9
E00061873,49.1
E00061874,244.7
E00061875,23.9
E00061877,196.3
E00061989,121.2
E00061990,236.3
E00061993,260.2
E00061999,77.7
E00062000,127.2
E00062001,151.1
E00062002,980.7
E00062003,4077.4
E00061995,1349.8
E00174145,1102.1
E00174147,378.5
E00174188,662.4
E00188247,349.7
E00188326,364.8
E00061991,2352.9
E00061992,6025.4
E00061997,881.3
E00188185,413
E00188201,1409.7
E00188202,23.2
E00188231,197.2
E00188236,1989
E00188313,37
E00061580,646.8
E00061583,4550.6
E00061597,3534.5
E00061598,2402.4
E00061599,5992.5
E00061581,2794.5
E00061582,1031.4
E00061584,4786.1
E00061585,1830.3
E00061587,5694.2
E00061579,3776
E00061586,3595.7
E00061589,1698.1
E00061590,2768.5
E00061591,6084.2
E00061588,3397.6
E00061592,5348.3
E00061593,3150.7
E00061594,6863.5
E00061595,6005.1
E00061596,3908
E00061486,4910.2
E00061500,3609
E00061501,5149.9
E00061502,3839.1
E00061503,9601.8
E00061505,7781.1
